path,entry_type,link_target,source_modified_at_sydney,snapshot_at_sydney,size_bytes,sha256
.gitattributes,file,,,2026-09-25T20:10:29+10:00,319,e39407d44ad133f19037e144c539f25d40f6de38e8362c13e9dd18c29089d7cc
README.md,file,,,2026-09-25T20:10:29+10:00,2289,0d5cb1a798e00dccb7450d64afe8034dad42a823e9031548ef0e2e410852f9f5
academic-research-skills-main/.claude/CHANGELOG.md,file,,2026-08-15T15:33:26+10:00,2026-09-25T20:10:29+10:00,18984,31f99f1d783e3cf5a9524dc20d69e96dd6b0c809aafd413b46e6d355c68acd98
academic-research-skills-main/.claude/CLAUDE.md,file,,2026-09-11T13:14:47+10:00,2026-09-25T20:10:29+10:00,69162,23849ab558bfb8a4d7d62939357dc218ce8dfb24ed54f6fd1930bbb4b9f3d31c
academic-research-skills-main/.claude-plugin/marketplace.json,file,,2026-09-11T13:14:47+10:00,2026-09-25T20:10:29+10:00,727,d2010c3196a0a372c8082b8ed160d139a387af664c762c8b186ec0ac8d7c92fa
academic-research-skills-main/.claude-plugin/plugin.json,file,,2026-09-11T13:14:47+10:00,2026-09-25T20:10:29+10:00,973,a7fd45eb40e1ae3462395baf271a2fb59da06b2b51de1c1d3c695bc1714bf1c0
academic-research-skills-main/.command-invariants.toml,file,,2026-08-15T15:33:26+10:00,2026-09-25T20:10:29+10:00,1108,bda3caa1875429a75d04679f8649b5f57106b83f7609ab7bdd6545db30b7c03e
academic-research-skills-main/.gitattributes,file,,2026-08-15T15:33:26+10:00,2026-09-25T20:10:29+10:00,381,e527abe459847500cdaaa76e8ba8914cfbf60af2c21abfc477be88f9fb75e015
academic-research-skills-main/.github/FUNDING.yml,file,,2026-08-15T15:33:26+10:00,2026-09-25T20:10:29+10:00,29,4a6aab449f7f9a44c2e8c2a5228acb29f9c961b1d17f45af4a238fe9217bad3b
academic-research-skills-main/.github/copilot-instructions.md,file,,2026-08-15T15:33:26+10:00,2026-09-25T20:10:29+10:00,2653,71178dbbcb465473b9ae76da20620403a0f69caa11cfd5aa5c49864db381f657
